student_id,attendance_pct,assignments_avg,midterm,final,pass
S1000,88,76,36,47,0
S1001,78,72,63,97,1
S1002,64,90,49,71,1
S1003,92,81,65,35,1
S1004,57,83,25,88,1
S1005,70,63,56,31,0
S1006,88,54,43,44,0
S1007,68,98,65,71,1
S1008,72,93,72,72,1
S1009,60,71,79,42,1
S1010,60,71,82,35,1
S1011,73,63,51,76,1
S1012,85,80,52,58,1
S1013,89,91,86,72,1
S1014,73,88,37,61,1
S1015,52,88,44,77,1
S1016,71,97,73,58,1
S1017,51,91,77,33,1
S1018,73,51,86,24,0
S1019,93,78,65,54,1
S1020,79,41,43,94,1
S1021,87,42,51,37,0
S1022,51,88,66,95,1
S1023,70,76,42,28,0
S1024,82,88,85,93,1
S1025,61,95,46,77,1
S1026,71,56,21,36,0
S1027,93,98,36,26,0
S1028,74,88,52,65,1
S1029,98,41,28,32,0
S1030,76,41,62,59,1
S1031,91,67,67,61,1
S1032,77,93,58,28,1
S1033,65,62,61,69,1
S1034,64,76,45,46,1
S1035,96,71,69,85,1
S1036,100,72,44,24,0
S1037,93,40,43,48,0
S1038,52,58,32,56,0
S1039,86,41,79,57,1
S1040,100,92,26,27,0
S1041,56,83,76,84,1
S1042,70,65,55,36,0
S1043,58,71,64,90,1
S1044,88,45,39,64,1
S1045,67,71,84,23,1
S1046,53,94,27,55,1
S1047,74,43,35,89,1
S1048,63,94,33,50,1
S1049,99,50,95,38,1
S1050,58,95,34,80,1
S1051,75,98,85,73,1
S1052,51,56,51,58,1
S1053,69,77,82,93,1
S1054,77,63,70,38,1
S1055,96,44,44,58,1
S1056,56,91,77,86,1
S1057,93,73,82,64,1
S1058,57,45,81,32,0
S1059,96,61,41,77,1
S1060,84,50,77,39,1
S1061,63,87,77,91,1
S1062,66,55,68,80,1
S1063,85,72,71,58,1
S1064,99,48,61,20,0
S1065,89,99,89,22,1
S1066,53,98,34,96,1
S1067,51,45,73,81,1
S1068,55,55,79,82,1
S1069,91,68,27,44,0
S1070,53,42,72,75,1
S1071,78,59,79,52,1
S1072,67,99,24,57,1
S1073,75,98,87,25,1
S1074,93,75,25,77,1
S1075,83,58,66,63,1
S1076,59,65,74,64,1
S1077,85,42,59,51,1
S1078,63,58,71,64,1
S1079,80,59,35,80,1
S1080,97,71,32,66,1
S1081,64,46,49,40,0
S1082,57,91,38,99,1
S1083,63,80,36,94,1
S1084,72,72,82,55,1
S1085,89,79,38,38,0
S1086,70,78,77,39,1
S1087,65,57,74,76,1
S1088,94,79,81,37,1
S1089,67,40,42,66,1
S1090,96,50,28,68,1
S1091,73,67,31,33,0
S1092,75,96,20,34,0
S1093,74,64,77,50,1
S1094,94,89,20,20,0
S1095,90,62,53,73,1
S1096,78,70,67,22,0
S1097,64,69,20,35,0
S1098,94,81,35,76,1
S1099,50,74,80,94,1
S1100,74,46,83,31,0
S1101,56,99,82,93,1
S1102,58,55,88,35,1
S1103,73,65,41,91,1
S1104,50,87,86,95,1
S1105,93,96,95,43,1
S1106,57,91,45,47,1
S1107,73,99,35,27,0
S1108,60,88,70,55,1
S1109,100,41,76,27,0
S1110,66,40,48,77,1
S1111,57,87,97,79,1
S1112,84,51,88,69,1
S1113,84,44,66,47,1
S1114,82,76,81,60,1
S1115,54,71,88,83,1
S1116,91,98,95,46,1
S1117,88,94,35,82,1
S1118,90,48,67,36,0
S1119,77,80,58,92,1
S1120,56,74,52,52,1
S1121,58,58,42,96,1
S1122,57,87,29,48,1
S1123,61,55,88,32,1
S1124,83,42,53,65,1
S1125,82,59,71,54,1
S1126,97,63,29,25,0
S1127,72,93,38,88,1
S1128,73,95,77,66,1
S1129,86,72,20,44,0
S1130,84,63,88,85,1
S1131,93,91,23,29,0
S1132,89,50,35,75,1
S1133,71,88,43,49,1
S1134,76,47,99,24,1
S1135,84,75,21,52,0
S1136,50,77,51,84,1
S1137,84,79,43,37,0
S1138,86,59,31,68,1
S1139,96,74,69,30,1
S1140,63,87,54,45,1
S1141,52,64,52,82,1
S1142,50,74,52,78,1
S1143,54,64,80,46,1
S1144,75,68,70,68,1
S1145,63,57,62,96,1
S1146,88,85,31,52,1
S1147,76,57,86,20,0
S1148,58,41,84,40,1
S1149,64,93,52,74,1
S1150,64,74,59,25,0
S1151,75,55,93,100,1
